               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/soccer-ball_mAP,    metrics/goal_mAP,metrics/soccer-ball_mAP_50, metrics/goal_mAP_50
                   0,             0.10161,            0.020561,            0.022047,                   0,                   0,                   0,                   0,                   0,            0.015656,                   0,              0.0829,              0.0019,              0.0019,                   0,                   0,                   0,                   0
                   1,            0.086617,            0.014987,            0.010539,                   0,                   0,                   0,                   0,                   0,            0.010324,                   0,            0.064823,           0.0038228,           0.0038228,                   0,                   0,                   0,                   0
                   2,            0.086424,            0.010388,           0.0053777,                   0,                   0,                   0,                   0,                   0,           0.0066985,                   0,            0.046666,           0.0056664,           0.0056664,                   0,                   0,                   0,                   0
                   3,            0.075674,           0.0081717,           0.0056868,                   0,                   0,                   0,                   0,                   0,           0.0052071,                   0,            0.028431,           0.0074307,           0.0074307,                   0,                   0,                   0,                   0
                   4,            0.074219,           0.0064821,           0.0054149,                   0,                   0,                   0,                   0,                   0,            0.003331,                   0,            0.010116,           0.0091159,           0.0091159,                   0,                   0,                   0,                   0
                   5,            0.069883,           0.0048344,           0.0037074,                   0,                   0,                   0,                   0,                   0,           0.0028097,                   0,             0.00901,             0.00901,             0.00901,                   0,                   0,                   0,                   0
                   6,            0.062934,           0.0050004,           0.0048092,                   0,                   0,                   0,                   0,                   0,           0.0021861,                   0,             0.00901,             0.00901,             0.00901,                   0,                   0,                   0,                   0
                   7,             0.05555,           0.0044013,           0.0028986,                   0,                   0,                   0,                   0,                   0,           0.0024264,                   0,            0.008812,            0.008812,            0.008812,                   0,                   0,                   0,                   0
                   8,            0.057528,           0.0045448,           0.0030328,                   0,                   0,                   0,                   0,                   0,           0.0033224,                   0,            0.008614,            0.008614,            0.008614,                   0,                   0,                   0,                   0
                   9,            0.053712,           0.0045934,            0.003093,                   0,                   0,                   0,                   0,                   0,           0.0033129,                   0,            0.008416,            0.008416,            0.008416,                   0,                   0,                   0,                   0
                  10,            0.048068,           0.0038668,           0.0024974,                   0,                   0,                   0,                   0,                   0,           0.0022607,                   0,            0.008218,            0.008218,            0.008218,                   0,                   0,                   0,                   0
                  11,            0.042949,           0.0045458,           0.0021007,                   0,                   0,                   0,                   0,                   0,            0.001799,                   0,             0.00802,             0.00802,             0.00802,                   0,                   0,                   0,                   0
                  12,            0.046379,           0.0040236,             0.00261,                   0,                   0,                   0,                   0,                   0,          0.00097376,                   0,            0.007822,            0.007822,            0.007822,                   0,                   0,                   0,                   0
                  13,            0.044191,           0.0040558,            0.002295,                   0,                   0,                   0,                   0,                   0,          0.00085047,                   0,            0.007624,            0.007624,            0.007624,                   0,                   0,                   0,                   0
                  14,            0.042188,           0.0040205,           0.0017989,                   0,                   0,                   0,                   0,                   0,          0.00072625,                   0,            0.007426,            0.007426,            0.007426,                   0,                   0,                   0,                   0
                  15,            0.051332,            0.004232,           0.0017203,                   0,                   0,                   0,                   0,                   0,          0.00087878,                   0,            0.007228,            0.007228,            0.007228,                   0,                   0,                   0,                   0
